name,date,startTime,endTime,venueId
Akasha,4/4/2024,23:00,5:00,1
Less Fear More Love,4/5/2024,23:59,,2
Francisco Allendes presents Canibales,4/5/2024,23:45,,3
OpenLab presents OffBeat,4/5/2024,23:00,,1
MTM | More Than Music,4/6/2024,23:59,,2
TRIP,4/6/2024,23:45,,3
Akasha,4/6/2024,23:00,5:00,1
Aftersun Ibiza at Ibiza Boat Club,4/6/2024,17:30,20:30,4
Playground Foundation,4/7/2024,12:00,,1
Less Fear More Love,4/12/2024,23:59,,2
Keep On Dancing,4/12/2024,23:45,,3
Akasha | TEN Ibiza,4/12/2024,23:00,,1
Touché Ibiza,4/13/2024,23:59,,2
TRIP,4/13/2024,23:45,,3
Akasha,4/13/2024,23:00,5:00,1
Aftersun Ibiza at Ibiza Boat Club,4/13/2024,17:30,20:30,4
Nido,4/14/2024,12:00,,1
A Day In Paradise Boat Trip,4/14/2024,12:00,17:00,5
Less Fear More Love,4/19/2024,23:59,,2
Poolside Sessions,4/19/2024,14:00,20:00,6
Club Chinois presents HUGEL,4/19/2024,23:45,,3
Akasha | One Tribe,4/19/2024,23:00,,1
Aftersun Ibiza at Ibiza Boat Club,4/19/2024,17:30,20:30,4
A Day In Paradise Boat Trip,4/19/2024,12:00,17:00,5
Game Over presents Jazzy Club X Velvet,4/20/2024,23:59,,2
Poolside Sessions,4/20/2024,14:00,20:00,6
TRIP,4/20/2024,23:45,,3
Akasha,4/20/2024,23:00,5:00,1
Es Paradis Opening Party,4/20/2024,23:59,6:00,7
Formentera With Benefits at Ibiza Boat Club,4/20/2024,10:30,21:00,4
Poolside Sessions,4/21/2024,14:00,20:00,6
Namasté,4/21/2024,12:00,,1
Aftersun Ibiza at Ibiza Boat Club,4/21/2024,17:30,20:30,4
A Day In Paradise Boat Trip,4/21/2024,12:00,17:00,5
UNUM Festival Launch Party,4/24/2024,23:45,,3
IMS Opening Party & Beatport Awards After Party,4/24/2024,21:00,,1
Armada Music x District VR x Mobilee present Progression,4/25/2024,23:45,,3
Southern Fried Records,4/25/2024,19:00,,1
Pyramid Special,4/26/2024,22:00,6:00,8
Pacha's Grand Opening Party,4/26/2024,23:59,6:00,9
International Music Summit IMS Grand Finale,4/26/2024,17:00,23:59,10
Space at Eden Opening Party,4/26/2024,21:00,,2
